"_id","text","user_rating"
"ObjectId(""5e7f429480102400074a9b79"")","traditionelle werte, z. B. pünktlichkeit jeden tag kommt der bote um 8:30",4
"ObjectId(""5e7f429480102400074a9b7a"")","Ehrlichkeit",4
"ObjectId(""5e7f429480102400074a9b7b"")","vielfältiges und qualitativ hochwertiges angebot",4
"ObjectId(""5e7f429480102400074a9b7c"")","zu wenig Wertschätzung gegenüber dem Personal (Personal scheint nicht zufrieden und wird nicht genügend bezahlt)",5
"ObjectId(""5e7f429480102400074a9b7d"")","kunden und angestellte sind zufrieden mit allem was sie bekommen, da das Preisleistungsverhältnis stimmt",2
"ObjectId(""5e7f429480102400074a9b7e"")","man wird freundlich begrüsst",2
"ObjectId(""5e7f429480102400074a9b7f"")","Neutralität",2
"ObjectId(""5e7f429480102400074a9b80"")","übersichtliche (personal-) struktur und vernetzung",4
"ObjectId(""5e7f429480102400074a9b82"")","entwickeln sich am Kundenmarkt vorbei",3
"ObjectId(""5e7f429480102400074a9b83"")","Qualität bleibt immer gleich",4
"ObjectId(""5e7f429480102400074a9b84"")","spürt Bedürfnisse vom Kunde",4
"ObjectId(""5e7f429480102400074a9b85"")","billige Kundenbindungsmethode",4
"ObjectId(""5e7f429480102400074a9b86"")","entspricht meinen Bedürfnissen",3
"ObjectId(""5e7f429480102400074a9b87"")","günstigeres Preis- und Leistungsverhältnisse",3
"ObjectId(""5e7f429480102400074a9b88"")","bodenständig",4
"ObjectId(""5e7f429480102400074a9b89"")","Flexibilität",4
"ObjectId(""5e7f429480102400074a9b8b"")","unruhig, zu fest im Wandel",4
"ObjectId(""5e7f429480102400074a9b8c"")","lösungsorientiert",4
"ObjectId(""5e7f429480102400074a9b8d"")","man wird vor Tatsachen gestellt",4
"ObjectId(""5e7f429480102400074a9b8e"")","verlässlich",4
"ObjectId(""5e7f429480102400074a9b8f"")","schnelllebend",4
"ObjectId(""5e7f429480102400074a9b90"")","ehrlich",4
"ObjectId(""5e7f429480102400074a9b91"")","zu wenig Kundenorientiert",1
"ObjectId(""5e7f429480102400074a9b92"")","träge",4
"ObjectId(""5e7f429480102400074a9b93"")","fahrig",4
"ObjectId(""5e7f429480102400074a9b94"")","zuverlässig",3
"ObjectId(""5e7f429480102400074a9b95"")","wetterabhängig",1
"ObjectId(""5e7f429480102400074a9b96"")","gute Beratung",2
"ObjectId(""5e7f429480102400074a9b97"")","Fehler durch Unternehmen",5
"ObjectId(""5e7f429480102400074a9b99"")","sorgt für mein Wohlbefinden",4
"ObjectId(""5e7f429480102400074a9b9a"")","motivierend",4
"ObjectId(""5e7f429480102400074a9b9b"")","langsam",3
"ObjectId(""5e7f429480102400074a9b9c"")","gibt mit Sicherheit",3
